********************************************************************************
Field Output Report, written Thu Apr 17 14:03:28 2025

Source 1
---------

   ODB: C:/lnms/Vid/cross-hole/cross-hole-U.odb
   Step: loading
   Frame: Increment     10: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: SPECIMEN-1

             Node      COORD.COOR1      COORD.COOR2
            Label           @Loc 1           @Loc 1
----------------------------------------------------
                1       23.3263378       23.3263378
                2       15.6395588       15.6395588
                3       20.4067039              5.5
                4              36.              5.5
                5              36.       17.6855927
                6      -4.63955879      -4.63955879
                7      -12.3263378      -12.3263378
                8      -6.68559313             -25.
                9              5.5             -25.
               10              5.5      -9.40670395
               11      -12.3263378       23.3263378
               12      -4.63955879       15.6395588
               13              5.5       20.4067039
               14              5.5              36.
               15      -6.68559313              36.
               16       15.6395588      -4.63955879
               17       23.3263378      -12.3263378
               18              36.      -6.68559313
               19       17.6855927              36.
               20             -25.       17.6855927
               21             -25.              5.5
               22      -9.40670395              5.5
               23       17.6855927             -25.
               24             -25.      -6.68559313
               25       29.4204693       19.0790405
               26       19.4827328       19.4827328
               27       19.2406654       10.7171459
               28       27.8838863              5.5
               29              36.       11.7133064
               30   282.854557E-03      -8.24066448
               31      -8.48273373      -8.48273373
               32      -8.07904148      -18.4204693
               33  -713.306010E-03             -25.
               34              5.5      -16.8838863
               35      -8.07904148       29.4204693
               36      -8.48273373       19.4827328
               37   282.854557E-03       19.2406654
               38              5.5       27.8838863
               39  -713.306010E-03              36.
               40       19.2406654   282.854557E-03
               41       19.4827328      -8.48273373
               42       29.4204693      -8.07904148
               43              36.  -713.306010E-03
               44       10.7171459       19.2406654
               45       19.0790405       29.4204693
               46       11.7133064              36.
               47      -8.24066448       10.7171459
               48      -18.4204693       19.0790405
               49             -25.       11.7133064
               50      -16.8838863              5.5
               51       19.0790405      -18.4204693
               52       10.7171459      -8.24066448
               53       11.7133064             -25.
               54      -18.4204693      -8.07904148
               55      -8.24066448   282.854557E-03
               56             -25.  -713.306010E-03
               57       26.4815693       13.1200323
               58      -2.12003207      -15.4815693
               59      -2.12003207       26.4815693
               60       26.4815693      -2.12003207
               61       13.1200323       26.4815693
               62      -15.4815693       13.1200323
               63       13.1200323      -15.4815693
               64      -15.4815693      -2.12003207


