********************************************************************************
Field Output Report, written Thu Apr 17 13:53:50 2025

Source 1
---------

   ODB: C:/lnms/Vid/cross-hole/cross-hole-U.odb
   Step: loading
   Frame: Increment     10: Step Time =    1.000

Loc 1 : Element nodal values from source 1 ( Average criteria = 75%, Not averaged across region boundaries )

Output sorted by column "Element Label".

Field Output reported at element nodes for region: SPECIMEN-1.Region_1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

          Element             Node     COORD.COORD1     COORD.COORD2
            Label            Label           @Loc 1           @Loc 1
---------------------------------------------------------------------
                1                1       23.3263397       23.3263397
                1               25       29.4204712       19.0790405
                1               26       19.4827347       19.4827347
                1               57       26.4815712       13.1200323
                2                2       15.6395588       15.6395588
                2               26       19.4827347       19.4827347
                2               27       19.2406654       10.7171459
                2               57       26.4815712       13.1200323
                3                3       20.4067078       5.50000095
                3               27       19.2406654       10.7171459
                3               28       27.8838863       5.50000048
                3               57       26.4815712       13.1200323
                4                4              36.              5.5
                4               28       27.8838863       5.50000048
                4               29       36.0000038       11.7133064
                4               57       26.4815712       13.1200323
                5                5       36.0000076       17.6855927
                5               25       29.4204712       19.0790405
                5               29       36.0000038       11.7133064
                5               57       26.4815712       13.1200323
                6                6      -4.63955832      -4.63955879
                6               30   282.854527E-03      -8.24066544
                6               31      -8.48273468      -8.48273468
                6               58      -2.12003207      -15.4815693
                7                7      -12.3263378      -12.3263378
                7               31      -8.48273468      -8.48273468
                7               32      -8.07904148      -18.4204712
                7               58      -2.12003207      -15.4815693
                8                8      -6.68559361             -25.
                8               32      -8.07904148      -18.4204712
                8               33  -713.306010E-03             -25.
                8               58      -2.12003207      -15.4815693
                9                9              5.5             -25.
                9               33  -713.306010E-03             -25.
                9               34       5.50000048      -16.8838844
                9               58      -2.12003207      -15.4815693
               10               10       5.50000095      -9.40670586
               10               30   282.854527E-03      -8.24066544
               10               34       5.50000048      -16.8838844
               10               58      -2.12003207      -15.4815693
               11               11      -12.3263378       23.3263397
               11               35      -8.07904053       29.4204712
               11               36      -8.48273468       19.4827347
               11               59      -2.12003207       26.4815712
               12               12      -4.63955879       15.6395588
               12               36      -8.48273468       19.4827347
               12               37   282.854587E-03       19.2406654
               12               59      -2.12003207       26.4815712
               13               13       5.50000095       20.4067078
               13               37   282.854587E-03       19.2406654
               13               38              5.5       27.8838863
               13               59      -2.12003207       26.4815712
               14               14       5.50000048              36.
               14               38              5.5       27.8838863
               14               39  -713.306069E-03       36.0000038
               14               59      -2.12003207       26.4815712
               15               15      -6.68559361       36.0000076
               15               35      -8.07904053       29.4204712
               15               39  -713.306069E-03       36.0000038
               15               59      -2.12003207       26.4815712
               16               16       15.6395588      -4.63955832
               16               40       19.2406673   282.854527E-03
               16               41       19.4827347      -8.48273468
               16               60       26.4815693      -2.12003207
               17               17       23.3263397      -12.3263378
               17               41       19.4827347      -8.48273468
               17               42       29.4204712      -8.07904148
               17               60       26.4815693      -2.12003207
               18               18       36.0000038      -6.68559361
               18               42       29.4204712      -8.07904148
               18               43       36.0000038  -713.306010E-03
               18               60       26.4815693      -2.12003207
               19                4              36.              5.5
