
                                   RF:RF2 PI: ASSEMBLY N: 
                     X                       2_1          

                   0.                      -0.            
                 100.E-03                   2.47704411E+03
                 200.E-03                   2.9760282E+03 
                 300.E-03                   3.41553569E+03
                 400.E-03                   3.81050491E+03
                 500.E-03                   4.16439962E+03
                 600.E-03                   4.48204422E+03
                 700.E-03                   4.76718664E+03
                 800.E-03                   5.02302933E+03
                 900.E-03                   5.25237846E+03
                   1.                       5.45771027E+03




