********************************************************************************
Field Output Report, written Wed Apr 16 15:23:23 2025

Source 1
---------

   ODB: C:/lnms/Vid/cross-hole/cross-hole-U.odb
   Step: loading
   Frame: Increment     10: Step Time =    1.000

Loc 1 : Element nodal values from source 1 ( Average criteria = 75%, Not averaged across region boundaries )

Output sorted by column "Element Label".

Field Output reported at element nodes for region: SPECIMEN-1.Region_2
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

          Element             Node     COORD.COORD1     COORD.COORD2
            Label            Label           @Loc 1           @Loc 1
---------------------------------------------------------------------
             1001                1       23.3263397       23.3263397
             1001               25       29.4204712       19.0790405
             1001               26       19.4827347       19.4827347
             1001               57       26.4815712       13.1200323
             1002                2       15.6395588       15.6395588
             1002               26       19.4827347       19.4827347
             1002               27       19.2406654       10.7171459
             1002               57       26.4815712       13.1200323
             1003                3       20.4067078       5.50000095
             1003               27       19.2406654       10.7171459
             1003               28       27.8838863       5.50000048
             1003               57       26.4815712       13.1200323
             1004                4              36.              5.5
             1004               28       27.8838863       5.50000048
             1004               29       36.0000038       11.7133064
             1004               57       26.4815712       13.1200323
             1005                5       36.0000076       17.6855927
             1005               25       29.4204712       19.0790405
             1005               29       36.0000038       11.7133064
             1005               57       26.4815712       13.1200323
             1006                6      -4.63955832      -4.63955879
             1006               30   282.854527E-03      -8.24066544
             1006               31      -8.48273468      -8.48273468
             1006               58      -2.12003207      -15.4815693
             1007                7      -12.3263378      -12.3263378
             1007               31      -8.48273468      -8.48273468
             1007               32      -8.07904148      -18.4204712
             1007               58      -2.12003207      -15.4815693
             1008                8      -6.68559361             -25.
             1008               32      -8.07904148      -18.4204712
             1008               33  -713.306010E-03             -25.
             1008               58      -2.12003207      -15.4815693
             1009                9              5.5             -25.
             1009               33  -713.306010E-03             -25.
             1009               34       5.50000048      -16.8838844
             1009               58      -2.12003207      -15.4815693
             1010               10       5.50000095      -9.40670586
             1010               30   282.854527E-03      -8.24066544
             1010               34       5.50000048      -16.8838844
             1010               58      -2.12003207      -15.4815693
             1011               11      -12.3263378       23.3263397
             1011               35      -8.07904053       29.4204712
             1011               36      -8.48273468       19.4827347
             1011               59      -2.12003207       26.4815712
             1012               12      -4.63955879       15.6395588
             1012               36      -8.48273468       19.4827347
             1012               37   282.854587E-03       19.2406654
             1012               59      -2.12003207       26.4815712
             1013               13       5.50000095       20.4067078
             1013               37   282.854587E-03       19.2406654
             1013               38              5.5       27.8838863
             1013               59      -2.12003207       26.4815712
             1014               14       5.50000048              36.
             1014               38              5.5       27.8838863
             1014               39  -713.306069E-03       36.0000038
             1014               59      -2.12003207       26.4815712
             1015               15      -6.68559361       36.0000076
             1015               35      -8.07904053       29.4204712
             1015               39  -713.306069E-03       36.0000038
             1015               59      -2.12003207       26.4815712
             1016               16       15.6395588      -4.63955832
             1016               40       19.2406673   282.854527E-03
             1016               41       19.4827347      -8.48273468
             1016               60       26.4815693      -2.12003207
             1017               17       23.3263397      -12.3263378
             1017               41       19.4827347      -8.48273468
             1017               42       29.4204712      -8.07904148
             1017               60       26.4815693      -2.12003207
             1018               18       36.0000038      -6.68559361
