
                                   RF:Magnitude PI: SPECIM
                     X                    EN-1 N: 21      

                   0.                       0.            
                 100.E-03                  20.440546E+03  
                 200.E-03                  38.8056259E+03 
                 300.E-03                  55.3372116E+03 
                 400.E-03                  70.2201157E+03 
                 500.E-03                  83.6437683E+03 
                 600.E-03                  95.7628098E+03 
                 700.E-03                 106.711929E+03  
                 800.E-03                 116.609047E+03  
                 900.E-03                 125.557648E+03  
                   1.                     133.648727E+03  




