
                     X             U:U1 PI: ASSEMBLY N: 1

                   0.                       0.            
                 100.E-03                   1.10000002    
                 200.E-03                   2.20000005    
                 300.E-03                   3.29999995    
                 400.E-03                   4.4000001     
                 500.E-03                   5.5           
                 600.E-03                   6.5999999     
                 700.E-03                   7.69999981    
                 800.E-03                   8.80000019    
                 900.E-03                   9.89999962    
                   1.                      11.            




