
                     X                      ALLWK         

                   0.                       0.            
                 100.E-03                   2.64863563E+03
                 200.E-03                   8.47083569E+03
                 300.E-03                  15.2809801E+03 
                 400.E-03                  22.9711952E+03 
                 500.E-03                  31.4529686E+03 
                 600.E-03                  40.6459732E+03 
                 700.E-03                  50.4784317E+03 
                 800.E-03                  60.88554E+03   
                 900.E-03                  71.8084946E+03 
                   1.                      83.193779E+03  




