
                     X                     _temp_1        

                   0.                       0.            
                 100.E-03                   2.72811198E+03
                 200.E-03                   8.73596859E+03
                 300.E-03                  15.7810955E+03 
                 400.E-03                  23.7485847E+03 
                 500.E-03                  32.5442467E+03 
                 600.E-03                  42.0828056E+03 
                 700.E-03                  52.2882996E+03 
                 800.E-03                  63.0923119E+03 
                 900.E-03                  74.43293E+03   
                   1.                      86.2539902E+03 




