
                  X                  F        

                0.                -0.         
              100.E-03           176.604      
              200.E-03           234.007      
              300.E-03           277.247      
              400.E-03           310.093      
              500.E-03           335.169      
              600.E-03           354.343      
              700.E-03           368.972      
              800.E-03           380.061      
              900.E-03           388.366      
                1.               394.46       




