
                     X                      Force2        

                   0.                      -0.            
                 100.E-03                 176.604462      
                 200.E-03                 234.007187      
                 300.E-03                 277.246796      
                 400.E-03                 310.092804      
                 500.E-03                 335.169037      
                 600.E-03                 354.342957      
                 700.E-03                 368.972198      
                 800.E-03                 380.061401      
                 900.E-03                 388.365692      
                   1.                     394.460419      




